%time,field.seq,field.stamp,field.frame_id
1481431647120968103,26008,1468242493578000000,/camera
1481431647153361082,26009,1468242493612000000,/camera
1481431647194366931,26010,1468242493645000000,/camera
1481431647224036931,26011,1468242493678000000,/camera
1481431647254992008,26012,1468242493712000000,/camera
1481431647286864042,26013,1468242493745000000,/camera
1481431647320519924,26014,1468242493778000000,/camera
1481431647352840900,26015,1468242493812000000,/camera
1481431647385006904,26016,1468242493845000000,/camera
1481431647419871091,26017,1468242493878000000,/camera
1481431647454530000,26018,1468242493912000000,/camera
1481431647485434055,26019,1468242493945000000,/camera
1481431647520298957,26020,1468242493978000000,/camera
1481431647552484989,26021,1468242494012000000,/camera
1481431647586443901,26022,1468242494045000000,/camera
1481431647619565963,26023,1468242494078000000,/camera
1481431647652760982,26024,1468242494112000000,/camera
1481431647685883045,26025,1468242494145000000,/camera
1481431647719685077,26026,1468242494178000000,/camera
1481431647757625102,26027,1468242494211000000,/camera
1481431647786348104,26028,1468242494245000000,/camera
1481431647821007013,26029,1468242494278000000,/camera
1481431647855777978,26030,1468242494311000000,/camera
1481431647888953924,26031,1468242494345000000,/camera
1481431647925513029,26032,1468242494378000000,/camera
1481431647953843116,26033,1468242494411000000,/camera
1481431647987386941,26034,1468242494445000000,/camera
1481431648020041942,26035,1468242494478000000,/camera
1481431648053718090,26036,1468242494511000000,/camera
1481431648088805913,26037,1468242494545000000,/camera
1481431648120685100,26038,1468242494578000000,/camera
1481431648153378009,26039,1468242494611000000,/camera
1481431648185766935,26040,1468242494645000000,/camera
1481431648220293045,26041,1468242494678000000,/camera
1481431648256406068,26042,1468242494711000000,/camera
1481431648292462110,26043,1468242494745000000,/camera
1481431648322845935,26044,1468242494778000000,/camera
1481431648354070901,26045,1468242494811000000,/camera
1481431648386370897,26046,1468242494845000000,/camera
1481431648424057006,26047,1468242494878000000,/camera
1481431648455354928,26048,1468242494911000000,/camera
1481431648485893011,26049,1468242494944000000,/camera
1481431648519213914,26050,1468242494978000000,/camera
1481431648552131891,26051,1468242495011000000,/camera
1481431648589015960,26052,1468242495044000000,/camera
1481431648618808031,26053,1468242495078000000,/camera
1481431648651314020,26054,1468242495111000000,/camera
1481431648684683084,26055,1468242495144000000,/camera
1481431648718513965,26056,1468242495178000000,/camera
1481431648758135080,26057,1468242495211000000,/camera
1481431648786014080,26058,1468242495244000000,/camera
1481431648819818019,26059,1468242495278000000,/camera
1481431648855458974,26060,1468242495311000000,/camera
1481431648886802911,26061,1468242495344000000,/camera
1481431648927711009,26062,1468242495378000000,/camera
1481431648955133914,26063,1468242495411000000,/camera
1481431648986450910,26064,1468242495444000000,/camera
1481431649025974035,26065,1468242495478000000,/camera
1481431649053807973,26066,1468242495511000000,/camera
1481431649092673063,26067,1468242495544000000,/camera
1481431649121002912,26068,1468242495578000000,/camera
1481431649151945114,26069,1468242495611000000,/camera
1481431649185889005,26070,1468242495644000000,/camera
1481431649220856904,26071,1468242495677000000,/camera
1481431649260135889,26072,1468242495711000000,/camera
1481431649287169933,26073,1468242495744000000,/camera
